
posicao: 0, cidades:
21700, 52, Uruana
19100, 52, Santa Bárbara de Goiás
18300, 52, Posse
15900, 52, Palminópolis
13400, 52, Moiporá
12600, 52, Mairipotaba
11800, 52, Jaraguá
10000, 52, Inhumas
9200, 52, Guapó
9150, 52, Gouvelândia
8400, 52, Goianápolis
7600, 52, Fazenda Nova
6800, 52, Damolândia
5000, 52, Carmo do Rio Verde
4300, 52, Caçu
4250, 52, Cachoeira Dourada
3575, 52, Bonópolis
3500, 52, Bom Jesus de Goiás
175, 52, Água Fria de Goiás
100, 52, Abadiânia
50, 52, Abadia de Goiás
8600, 51, Vila Rica
7925, 51, Sorriso
7875, 51, Sapezal
7800, 51, Santo Antônio do Leverger
7750, 51, Salto do Céu
6000, 51, Nortelândia
5200, 51, Juscimeira
5150, 51, Juína
4500, 51, Indiavaí
3700, 51, Feliz Natal
2850, 51, Castanheira
300, 51, Alto Araguaia
250, 51, Alta Floresta
7950, 50, Tacuru
6275, 50, Paraíso das Águas
6200, 50, Nova Andradina
5400, 50, Maracaju
4700, 50, Ivinhema
3900, 50, Figueirão
2100, 50, Bela Vista
23200, 43, Victor Graeff
22525, 43, Vale Verde
22400, 43, Uruguaiana
22350, 43, União da Serra
21600, 43, Tramandaí
20800, 43, Soledade
19125, 43, São Martinho da Serra
19000, 43, São Marcos
18200, 43, São Francisco de Paula
17400, 43, Santiago
16600, 43, Sananduva
15800, 43, Roca Sales
15750, 43, Riozinho
14175, 43, Pedras Altas
14100, 43, Passo Fundo
14050, 43, Parobé
13425, 43, Novo Machado
13375, 43, Nova Santa Rita
13300, 43, Nova Prata
12625, 43, Muliterno
12500, 43, Mostardas
12450, 43, Morro Redondo
11775, 43, Maquiné
11700, 43, Machadinho
10900, 43, Jacutinga
10850, 43, Jaboticaba
9100, 43, Gramado
9050, 43, Glorinha
8300, 43, Fontoura Xavier
8250, 43, Floriano Peixoto
7500, 43, Espumoso
7450, 43, Esperança do Sul
6700, 43, Dona Francisca
5975, 43, Coxilha
5900, 43, Coronel Bicaco
5850, 43, Coqueiros do Sul
4200, 43, Candelária
3400, 43, Caiçara
2600, 43, Braga
1925, 43, Barra do Rio Azul
1875, 43, Barra do Quaraí
1800, 43, Barracão
1750, 43, Barão do Triunfo
20000, 42, Balneário Rincão
19200, 42, Vidal Ramos
19150, 42, Vargem
18400, 42, Treze de Maio
18350, 42, Treviso
17600, 42, Siderópolis
17550, 42, Serra Alta
16800, 42, São José do Cerrito
15075, 42, Riqueza
15000, 42, Rio Negrinho
14300, 42, Rancho Queimado
13500, 42, Porto Belo
12700, 42, Petrolândia
12650, 42, Pescaria Brava
11900, 42, Palhoça
11850, 42, Ouro Verde
10100, 42, Mafra
10050, 42, Macieira
9300, 42, Lages
8500, 42, Ituporanga
8450, 42, Itapoá
7700, 42, Ipumirim
7650, 42, Iporã do Oeste
6900, 42, Ibirama
5175, 42, Entre Rios
5100, 42, Dona Emma
4400, 42, Coronel Freitas
4350, 42, Cordilheira Alta
3600, 42, Campos Novos
2875, 42, Brunópolis
2800, 42, Braço do Norte
1950, 42, Balneário Arroio do Silva
1000, 42, Anita Garibaldi
200, 42, Agrolândia
28625, 41, Alto Paraíso
28500, 41, Wenceslau Braz
27700, 41, Toledo
26900, 41, Tapira
25100, 41, São João do Triunfo
24400, 41, Santo Antônio do Sudoeste
23600, 41, Santa Inês
22800, 41, Salgado Filho
21000, 41, Querência do Norte
20200, 41, Porto Rico
20150, 41, Porto Barreiro
19400, 41, Piraí do Sul
18600, 41, Paula Freitas
17800, 41, Palmital
16950, 41, Nova Esperança do Sudoeste
16000, 41, Miraselva
15200, 41, Maringá
14500, 41, Manoel Ribas
13700, 41, Londrina
12900, 41, Jundiaí do Sul
11100, 41, Itambé
10300, 41, Inajá
9500, 41, Guaraqueçaba
8700, 41, Grandes Rios
8650, 41, Goioxim
7900, 41, Floresta
7850, 41, Flor da Serra do Sul
6100, 41, Conselheiro Mairinck
5300, 41, Céu Azul
4600, 41, Capitão Leônidas Marques
3800, 41, Cambira
2000, 41, Assis Chateaubriand
1200, 41, Antonina
1150, 41, Ângulo
400, 41, Almirante Tamandaré
56800, 35, Viradouro
55000, 35, Tupã
54300, 35, Teodoro Sampaio
53500, 35, Tapiraí
52700, 35, Tabatinga
51900, 35, Severínia
50100, 35, São Manuel
49300, 35, São João do Pau d'Alho
49250, 35, São João de Iracema
48500, 35, Santos
