11 lacos para encontrar - Nome da Cidade: Alta Floresta D'Oeste, ID da Cidade: 15, ID do UF: 11, UF: RO, Populacao: 22516
12 lacos para encontrar - Nome da Cidade: Ariquemes, ID da Cidade: 23, ID do UF: 11, UF: RO, Populacao: 111148
12 lacos para encontrar - Nome da Cidade: Cabixi, ID da Cidade: 31, ID do UF: 11, UF: RO, Populacao: 5067
12 lacos para encontrar - Nome da Cidade: Cacoal, ID da Cidade: 49, ID do UF: 11, UF: RO, Populacao: 86416
13 lacos para encontrar - Nome da Cidade: Cerejeiras, ID da Cidade: 56, ID do UF: 11, UF: RO, Populacao: 16088
13 lacos para encontrar - Nome da Cidade: Colorado do Oeste, ID da Cidade: 64, ID do UF: 11, UF: RO, Populacao: 15213
8 lacos para encontrar - Nome da Cidade: Corumbiara, ID da Cidade: 72, ID do UF: 11, UF: RO, Populacao: 7052
12 lacos para encontrar - Nome da Cidade: Costa Marques, ID da Cidade: 80, ID do UF: 11, UF: RO, Populacao: 19255
12 lacos para encontrar - Nome da Cidade: Espigão D'Oeste, ID da Cidade: 98, ID do UF: 11, UF: RO, Populacao: 33009
7 lacos para encontrar - Nome da Cidade: Guajará-Mirim, ID da Cidade: 106, ID do UF: 11, UF: RO, Populacao: 4693
13 lacos para encontrar - Nome da Cidade: Jaru, ID da Cidade: 114, ID do UF: 11, UF: RO, Populacao: 51469
11 lacos para encontrar - Nome da Cidade: Ji-Paraná, ID da Cidade: 122, ID do UF: 11, UF: RO, Populacao: 131026
12 lacos para encontrar - Nome da Cidade: Machadinho D'Oeste, ID da Cidade: 130, ID do UF: 11, UF: RO, Populacao: 41724
13 lacos para encontrar - Nome da Cidade: Nova Brasilândia D'Oeste, ID da Cidade: 148, ID do UF: 11, UF: RO, Populacao: 20504
11 lacos para encontrar - Nome da Cidade: Ouro Preto do Oeste, ID da Cidade: 155, ID do UF: 11, UF: RO, Populacao: 35445
10 lacos para encontrar - Nome da Cidade: Pimenta Bueno, ID da Cidade: 189, ID do UF: 11, UF: RO, Populacao: 37098
6 lacos para encontrar - Nome da Cidade: Porto Velho, ID da Cidade: 205, ID do UF: 11, UF: RO, Populacao: 548952
13 lacos para encontrar - Nome da Cidade: Presidente Médici, ID da Cidade: 254, ID do UF: 11, UF: RO, Populacao: 18165
11 lacos para encontrar - Nome da Cidade: Rio Crespo, ID da Cidade: 262, ID do UF: 11, UF: RO, Populacao: 3843
12 lacos para encontrar - Nome da Cidade: Rolim de Moura, ID da Cidade: 288, ID do UF: 11, UF: RO, Populacao: 55748
13 lacos para encontrar - Nome da Cidade: Santa Luzia D'Oeste, ID da Cidade: 296, ID do UF: 11, UF: RO, Populacao: 5942
7 lacos para encontrar - Nome da Cidade: Vilhena, ID da Cidade: 304, ID do UF: 11, UF: RO, Populacao: 104517
9 lacos para encontrar - Nome da Cidade: São Miguel do Guaporé, ID da Cidade: 320, ID do UF: 11, UF: RO, Populacao: 23147
12 lacos para encontrar - Nome da Cidade: Nova Mamoré, ID da Cidade: 338, ID do UF: 11, UF: RO, Populacao: 32184
